n_qubits,mean_fidelity,std_fidelity,mean_runtime,std_runtime,num_parameters
2,0.9968515983039067,0.0038098905159937428,0.06884455680847168,0.0627082417057627,7328
3,0.9986103275529903,0.0013528832137486436,0.03702902793884277,0.0005004117267368733,41344
4,0.9994735793854567,0.00010615972019460152,0.11847527821858723,0.020327288503121807,263168
5,0.9932885773813466,0.0031764852348500202,0.467634916305542,0.02932498580422058,1838080
